2016-02-26 03:13:44, used memory: 1.73MB, allocated memory: 2.00MB, addresses read and compared: 100
2016-02-26 03:13:56, used memory: 1.73MB, allocated memory: 2.00MB, addresses read and compared: 200
2016-02-26 03:14:09, used memory: 1.72MB, allocated memory: 2.00MB, addresses read and compared: 300
2016-02-26 03:14:15, used memory: 1.73MB, allocated memory: 2.00MB, addresses read and compared: 400
2016-02-26 03:14:23, used memory: 1.72MB, allocated memory: 2.00MB, addresses read and compared: 500
2016-02-26 03:14:33, used memory: 1.72MB, allocated memory: 2.00MB, addresses read and compared: 600
2016-02-26 03:14:37, used memory: 1.73MB, allocated memory: 2.00MB, addresses read and compared: 700
2016-02-26 03:14:46, used memory: 1.72MB, allocated memory: 2.00MB, addresses read and compared: 800
2016-02-26 03:15:00, used memory: 1.82MB, allocated memory: 4.00MB, addresses read and compared: 900
2016-02-26 03:15:00, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 1000
2016-02-26 03:15:09, used memory: 1.74MB, allocated memory: 4.00MB, addresses read and compared: 1100
2016-02-26 03:15:19, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 1200
2016-02-26 03:15:30, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 1300
2016-02-26 03:15:41, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 1400
2016-02-26 03:15:48, used memory: 1.78MB, allocated memory: 4.00MB, addresses read and compared: 1500
2016-02-26 03:16:00, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 1600
2016-02-26 03:16:09, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 1700
2016-02-26 03:16:20, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 1800
2016-02-26 03:16:27, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 1900
2016-02-26 03:16:33, used memory: 1.77MB, allocated memory: 4.00MB, addresses read and compared: 2000
2016-02-26 03:16:35, used memory: 1.82MB, allocated memory: 4.00MB, addresses read and compared: 2100
2016-02-26 03:16:39, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 2200
2016-02-26 03:16:49, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 2300
2016-02-26 03:17:07, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 2400
2016-02-26 03:17:18, used memory: 1.78MB, allocated memory: 4.00MB, addresses read and compared: 2500
2016-02-26 03:17:25, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 2600
2016-02-26 03:17:31, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 2700
2016-02-26 03:17:43, used memory: 1.75MB, allocated memory: 4.00MB, addresses read and compared: 2800
2016-02-26 03:18:00, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 2900
2016-02-26 03:18:05, used memory: 1.82MB, allocated memory: 4.00MB, addresses read and compared: 3000
2016-02-26 03:18:12, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 3100
2016-02-26 03:18:23, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 3200
2016-02-26 03:18:28, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 3300
2016-02-26 03:18:37, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 3400
2016-02-26 03:18:49, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 3500
2016-02-26 03:19:12, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 3600
2016-02-26 03:19:22, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 3700
2016-02-26 03:19:32, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 3800
2016-02-26 03:19:34, used memory: 1.81MB, allocated memory: 4.00MB, addresses read and compared: 3900
2016-02-26 03:19:43, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 4000
2016-02-26 03:20:03, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 4100
2016-02-26 03:20:10, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 4200
2016-02-26 03:20:19, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 4300
2016-02-26 03:20:26, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 4400
2016-02-26 03:20:38, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 4500
2016-02-26 03:20:48, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 4600
2016-02-26 03:21:03, used memory: 1.81MB, allocated memory: 4.00MB, addresses read and compared: 4700
2016-02-26 03:21:12, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 4800
2016-02-26 03:21:29, used memory: 1.76MB, allocated memory: 4.00MB, addresses read and compared: 4900
2016-02-26 03:21:36, used memory: 1.76MB, allocated memory: 4.00MB, addresses read and compared: 5000
2016-02-26 03:21:45, used memory: 1.73MB, allocated memory: 4.00MB, addresses read and compared: 5100
2016-02-26 03:22:02, used memory: 1.72MB, allocated memory: 4.00MB, addresses read and compared: 5200
